 TERM	 COLLEGE	 DEPARTMENT	 CRN	 SUBJ	 NUM	 SECT	 TITLE	 SCHEDULE	 ENROLLMENT
 Spring 2013 	 Liberal Arts & Sciences	 Anthropology	 54206	 ANTH	 103	 ONL	 Anthro in a Changing World	 Online	 129
 Spring 2013 	 Liberal Arts & Sciences	 Anthropology	 55863	 ANTH	 143	 OCE	 Biology of Human Behavior	 Online	 1
 Spring 2013 	 Liberal Arts & Sciences	 Anthropology	 55759	 ANTH	 143	 ONL	 Biology of Human Behavior	 Online	 91
 Spring 2013 	 Liberal Arts & Sciences	 Atmospheric Sciences	 58617	 ATMS	 322	 A	 Soc Impacts Weather & Climate	 Online	 16
 Spring 2013 	 Liberal Arts & Sciences	 Atmospheric Sciences	 58618	 ATMS	 323	 A	 Air Pollution to Global Change	 Online	 10
 Spring 2013 	 Liberal Arts & Sciences	 Atmospheric Sciences	 58619	 ENSU	 301	 A	 Soc Impacts Weather & Climate	 Online	 21
 Spring 2013 	 Liberal Arts & Sciences	 Atmospheric Sciences	 59069	 ENSU	 301	 ONL	 Soc Impacts Weather & Climate	 Online	 4
 Spring 2013 	 Liberal Arts & Sciences	 Atmospheric Sciences	 58620	 ENSU	 302	 A	 Air Pollution to Global Change	 Online	 12
 Spring 2013 	 Liberal Arts & Sciences	 Atmospheric Sciences	 59071	 ENSU	 302	 ON2	 Air Pollution to Global Change	 Online	 3
 Spring 2013 	 Liberal Arts & Sciences	 Chemistry	 39183	 CHEM	 232	 AN1	 Elementary Organic Chemistry I	 Online	 444
 Spring 2013 	 Liberal Arts & Sciences	 Chemistry	 55787	 CHEM	 232	 BL	 Elementary Organic Chemistry I	 Online	 66
 Spring 2013 	 Liberal Arts & Sciences	 Chemistry	 47558	 CHEM	 332	 AN1	 Elementary Organic Chem II	 Online	 301
 Spring 2013 	 Liberal Arts & Sciences	 Chemistry	 55861	 CHEM	 332	 OL2	 Elementary Organic Chem II	 Online	 3
 Spring 2013 	 Liberal Arts & Sciences	 Chemistry	 55862	 CHEM	 332	 OL3	 Elementary Organic Chem II	 Online	 2
 Spring 2013 	 Liberal Arts & Sciences	 Classics	 31316	 CLCV	 100	 A	 Vocab Building-GRK & LAT Roots	 Online	 57
 Spring 2013 	 Liberal Arts & Sciences	 Classics	 31317	 CLCV	 102	 A	 Medical Terms-GRK & LAT Roots	 Online	 160
 Spring 2013 	 Liberal Arts & Sciences	 Classics	 55865	 CLCV	 102	 ONL	 Medical Terms-GRK & LAT Roots	 Online	 2
 Spring 2013 	 Liberal Arts & Sciences	 Communication	 57641	 CMN	 496	 BQ	 Hlth Cpgns Making a Difference	 Online	 21
 Spring 2013 	 Liberal Arts & Sciences	 Communication	 57771	 CMN	 504	 LW1	 Health & Family Communication	 Online	 19
 Spring 2013 	 Liberal Arts & Sciences	 Communication	 57642	 CMN	 595	 MH1	 Soc Mrkting for Hlth & Beh Chg	 Online	 20
 Spring 2013 	 Liberal Arts & Sciences	 Communication	 57630	 CMN	 595	 SJ1	 Health Comm Research Methods 1	 Online	 19
 Spring 2013 	 Liberal Arts & Sciences	 Crop Sciences	 58861	 IB	 524	 A1	 Plant Biochemistry	 Online	 1
 Spring 2013 	 Liberal Arts & Sciences	 Economics	 59090	 ECON	 103	 ONL	 Macroeconomic Principles	 Online	 41
 Spring 2013 	 Liberal Arts & Sciences	 English	 51858	 BTW	 250	 OL1	 Principles Bus Comm	 Online	 13
 Spring 2013 	 Liberal Arts & Sciences	 English	 58045	 ENGL	 104	 ONL	 Intro to Film	 Online	 13
 Spring 2013 	 Liberal Arts & Sciences	 English	 58392	 ENGL	 199	 F	 Writing To Get That Job	 Online	 8
 Spring 2013 	 Liberal Arts & Sciences	 English	 59903	 ENGL	 199	 N	 Writing To Get That Job	 Online	 10
 Spring 2013 	 Liberal Arts & Sciences	 English	 59907	 ENGL	 199	 P	 Writing To Get That Job	 Online	 11
 Spring 2013 	 Liberal Arts & Sciences	 English	 59138	 ENGL	 460	 ONG	 Race and Representation	 Online	 2
 Spring 2013 	 Liberal Arts & Sciences	 English	 59137	 ENGL	 460	 ONU	 Race and Representation	 Online	 24
 Spring 2013 	 Liberal Arts & Sciences	 Geology	 59022	 ESE	 117	 ONL	 The Oceans	 Online	 5
 Spring 2013 	 Liberal Arts & Sciences	 Geology	 58496	 ESE	 118	 ONL	 Natural Disasters	 Online	 9
 Spring 2013 	 Liberal Arts & Sciences	 Geology	 59021	 GEOL	 117	 ONL	 The Oceans	 Online	 19
 Spring 2013 	 Liberal Arts & Sciences	 Geology	 58495	 GEOL	 118	 ONL	 Natural Disasters	 Online	 89
 Spring 2013 	 Liberal Arts & Sciences	 Geology	 58497	 GLBL	 118	 ONL	 Natural Disasters	 Online	 8
 Spring 2013 	 Liberal Arts & Sciences	 Latin American & Carib Studies	 47621	 LAST	 445	 AO2	 Native Latin Amer Languages	 Online	 1
 Spring 2013 	 Liberal Arts & Sciences	 Linguistics	 59068	 EIL	 488	 OCE	 English Phon & Morph for TESL	 Online	 3
 Spring 2013 	 Liberal Arts & Sciences	 Linguistics	 32956	 EIL	 488	 WD3	 English Phon & Morph for TESL	 Online	 1
 Spring 2013 	 Liberal Arts & Sciences	 Linguistics	 32958	 EIL	 488	 WD4	 English Phon & Morph for TESL	 Online	 10
 Spring 2013 	 Liberal Arts & Sciences	 Linguistics	 32958	 EIL	 488	 WD4	 English Phon & Morph for TESL	 Online	 10
 Spring 2013 	 Liberal Arts & Sciences	 Mathematics	 59804	 MATH	 402	 OC2	 Non Euclidean Geometry	 Online	 2
 Spring 2013 	 Liberal Arts & Sciences	 Mathematics	 53324	 MATH	 402	 OCE	 Non Euclidean Geometry	 Online	 4
 Spring 2013 	 Liberal Arts & Sciences	 Mathematics	 40670	 MATH	 415	 EGR	 Applied Linear Algebra	 Online	 2
 Spring 2013 	 Liberal Arts & Sciences	 Mathematics	 40671	 MATH	 461	 EGR	 Probability Theory	 Online	 1
 Spring 2013 	 Liberal Arts & Sciences	 Political Science	 56104	 PS	 200	 ON	 Foundations of Pol Sci	 Online	 68
 Spring 2013 	 Liberal Arts & Sciences	 Political Science	 53158	 PS	 225	 ONL	 Environmental Politics &Policy	 Online	 68
 Spring 2013 	 Liberal Arts & Sciences	 Political Science	 57002	 PS	 280	 ONL	 Intro to Intl Relations	 Online	 63
 Spring 2013 	 Liberal Arts & Sciences	 Russian,E European,Eurasn Ctr	 44394	 REES	 596	 SMG	 Social Media & Global Change	 Online	 2
 Spring 2013 	 Liberal Arts & Sciences	 Sch Earth Soc Env Courses	 57447	 ESE	 497	 C	 Sustainable Organizations	 Online	 21
 Spring 2013 	 Liberal Arts & Sciences	 Sch Earth Soc Env Courses	 55899	 ESE	 497	 ONL	 Sustainable Organizations	 Online	 5
 Spring 2013 	 Liberal Arts & Sciences	 School of Integrative Biology	 58455	 IB	 100	 ONL	 Biological Sciences	 Online	 126
 Spring 2013 	 Liberal Arts & Sciences	 School of Integrative Biology	 56880	 IB	 105	 ONL	 Environmental Biology	 Online	 114
 Spring 2013 	 Liberal Arts & Sciences	 School of Integrative Biology	 59077	 IB	 532	 ONL	 Sustainability & Global Change	 Online	 8
 Spring 2013 	 Liberal Arts & Sciences	 Slavic Languages & Literature	 59262	 RUSS	 101	 A	 First-Year Russian I	 Online	 9
 Spring 2013 	 Liberal Arts & Sciences	 Slavic Languages & Literature	 59268	 RUSS	 101	 OCE	 First-Year Russian I	 Online	 1
 Spring 2013 	 Liberal Arts & Sciences	 Sociology	 56059	 SOC	 100	 OCE	 Introduction to Sociology	 Online	 2
 Spring 2013 	 Liberal Arts & Sciences	 Sociology	 55625	 SOC	 100	 ONL	 Introduction to Sociology	 Online	 56
 Spring 2013 	 Liberal Arts & Sciences	 Sociology	 40758	 SOC	 196	 JC	 Issues in Sociology	 Online	 9
 Spring 2013 	 Liberal Arts & Sciences	 Spanish, Italian & Portuguese	 52353	 SPAN	 200	 C	 Readings in Hispanic Texts	 Online	 28
 Spring 2013 	 Liberal Arts & Sciences	 Spanish, Italian & Portuguese	 39579	 SPAN	 200	 D	 Readings in Hispanic Texts	 Online	 35
 Spring 2013 	 Liberal Arts & Sciences	 Spanish, Italian & Portuguese	 47642	 SPAN	 200	 E	 Readings in Hispanic Texts	 Online	 30
 Spring 2013 	 Liberal Arts & Sciences	 Spanish, Italian & Portuguese	 35227	 SPAN	 200	 F	 Readings in Hispanic Texts	 Online	 21
 Spring 2013 	 Liberal Arts & Sciences	 Spanish, Italian & Portuguese	 35229	 SPAN	 200	 X	 Readings in Hispanic Texts	 Online	 23
